STATE,YEAR,HSS,CPE,IIM,HD,CM,EOH,fc_iim,fc_hss,fc_eoh,fc_cm,fc_cpe,fc_hd,HSSw,CPEw,IIMw,HDw,CMw,EOHw,overall,HSSOLD,CPEOLD,IIMOLD,HDOLD,CMOLD,EOHOLD,Nat_overall,Nat_overalllb,Nat_overallub,overall_class,Nat_HSS,Nat_HSSlb,Nat_HSSub,HSS_class,Nat_CPE,Nat_CPElb,Nat_CPEub,CPE_class,Nat_IIM,Nat_IIMlb,Nat_IIMub,IIM_class,Nat_HD,Nat_HDlb,Nat_HDub,HD_class,Nat_CM,Nat_CMlb,Nat_CMub,CM_class,Nat_EOH,Nat_EOHlb,Nat_EOHub,EOH_class
AK,2013,6.800000191,4.599999905,7,3.299999952,2.900000095,5.099999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5,0.5847881436,0.4299351573,0.3351277709,0.3287830651,0.1717462242,0.4683654308,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,3
AL,2013,7.199999809,3.799999952,7.400000095,4.300000191,5.599999905,5.400000095,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.599999905,0.6337538362,0.3366590142,0.4280571938,0.4269157946,0.4791332483,0.4939744473,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,3
AR,2013,7.400000095,4,8.5,4.900000095,5.5,5.099999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6,0.661883831,0.3630053699,0.6621315479,0.494088769,0.4714466929,0.4642002583,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,3
AZ,2013,7.300000191,4.5,7.900000095,3.5,4.400000095,5.699999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.599999905,0.6569142342,0.4135830998,0.5442428589,0.3504773974,0.342594564,0.5280829668,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,3
CA,2013,6.900000095,4.400000095,8.600000381,4.199999809,4.300000191,7.199999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.900000095,0.6054534912,0.4016143382,0.7016636133,0.4239428043,0.3290051222,0.6885669827,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,1
CO,2013,6.300000191,5,8.899999619,4.699999809,5.5,7.099999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.199999809,0.5219548345,0.4672295451,0.7497265339,0.4691421688,0.4732686877,0.6799091697,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,1
CT,2013,8.100000381,6.199999809,7.199999809,5.099999905,5.900000095,6.5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.5,0.7490655184,0.5928747654,0.3936862648,0.5074825287,0.5187757611,0.6189246178,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,2
DC,2013,7.300000191,6.199999809,8.100000381,5.199999809,6.800000191,6.099999905,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.599999905,0.644560039,0.5995544195,0.5790275335,0.515542984,0.6210212708,0.5704909563,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,1,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,2
DE,2013,6.699999809,5.5,7.5,4.699999809,4.900000095,6,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.900000095,0.5695070028,0.5177487135,0.4478338659,0.4711348414,0.4056952298,0.5636053085,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,2
FL,2013,8,4,8.199999809,4.400000095,4.599999905,7.199999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6,0.7351440191,0.3639503121,0.59930408,0.4445400238,0.3646549582,0.6884196401,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,1
GA,2013,7,3.400000095,8,4.199999809,4.800000191,4.900000095,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.5,0.6095243692,0.3029854298,0.568336308,0.4158715606,0.3874307275,0.4458910525,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,3
HI,2013,8.199999809,5,7,4.900000095,5.5,6.199999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.099999905,0.7689285278,0.4672869742,0.3415183723,0.4878712296,0.465959847,0.5865762234,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,2
IA,2013,8,4.400000095,9.199999809,4.599999905,7.300000191,7,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.699999809,0.740516305,0.4046806395,0.8291186094,0.4578001797,0.6887030602,0.6688377857,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,1
ID,2013,7.099999905,5.199999809,7.900000095,4.099999905,4.699999809,6.699999809,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,5.900000095,0.6193912029,0.4863575995,0.5398780107,0.410820514,0.3747057915,0.64426893,6.099999905,5.960000038,6.28000021,3,7.5,7.289999962,7.789999962,3,4.5,4.21999979,4.860000134,1,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,3,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,1
IL,2013,7.599999905,4.400000095,8.100000381,4.900000095,5.300000191,5.800000191,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.099999905,0.6898197532,0.3994679153,0.5939096808,0.4854507446,0.4429016709,0.5434750319,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,2,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,3,6.199999809,5.940000057,6.53000021,3
IN,2013,8.100000381,4.199999809,8.5,4.800000191,5.599999905,6.5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.300000191,0.7525840998,0.3854214549,0.6636374593,0.4794326127,0.4886915088,0.6222301126,6.099999905,5.960000038,6.28000021,1,7.5,7.289999962,7.789999962,1,4.5,4.21999979,4.860000134,3,8,7.809999943,8.279999733,1,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,2,6.199999809,5.940000057,6.53000021,2
KS,2013,7.599999905,4.5,7.699999809,4.699999809,6.400000095,6.5,0.5412714481,0.2266842574,0.08572264761,0.1483679563,0.06027572975,0,0.1898734123,0.1898734123,0.1898734123,0.1898734123,0.1518987268,0.08860759437,6.199999809,0.6920002103,0.4147624671,0.5055387616,0.4720835686,0.5739498734,0.6132452488,6.099999905,5.960000038,6.28000021,2,7.5,7.289999962,7.789999962,2,4.5,4.21999979,4.860000134,2,8,7.809999943,8.279999733,3,4.699999809,4.440000057,4.900000095,2,5.599999905,5.320000172,5.96999979,1,6.199999809,5.940000057,6.53000021,2
